timestamp,open,high,low,close,volume
2026-02-04 17:24:00,72854.34,73028.82,72746.45,72800.32,147.74506
2026-02-04 17:25:00,72800.32,72910.84,72779.61,72790.5,104.60775
2026-02-04 17:26:00,72790.5,72860.0,72700.0,72719.02,108.37874
2026-02-04 17:27:00,72719.02,72719.02,72533.01,72617.78,297.50182
2026-02-04 17:28:00,72617.77,72720.0,72394.7,72428.64,433.09299
2026-02-04 17:29:00,72428.64,72550.0,72404.56,72473.56,198.13474
2026-02-04 17:30:00,72473.56,72637.62,72380.26,72474.5,238.31711
2026-02-04 17:31:00,72474.5,72952.09,72448.66,72670.41,339.10308
2026-02-04 17:32:00,72671.99,72780.64,72482.64,72521.61,202.00429
2026-02-04 17:33:00,72521.6,72726.83,72499.26,72722.88,148.66165
2026-02-04 17:34:00,72722.88,72778.24,72597.23,72710.0,88.04775
2026-02-04 17:35:00,72709.2,72785.52,72626.99,72651.99,58.62864
2026-02-04 17:36:00,72651.99,72678.0,72492.19,72492.2,60.65828
2026-02-04 17:37:00,72492.2,72628.0,72470.01,72492.67,48.51896
2026-02-04 17:38:00,72492.66,72500.0,72293.0,72352.14,82.58816
2026-02-04 17:39:00,72352.14,72452.6,72293.0,72293.0,75.82873
2026-02-04 17:40:00,72293.01,72433.11,72169.0,72425.42,267.86868
2026-02-04 17:41:00,72425.42,72618.15,72419.49,72617.25,173.32174
2026-02-04 17:42:00,72617.25,72730.0,72558.0,72594.95,65.1277
2026-02-04 17:43:00,72594.96,72844.44,72594.96,72831.77,41.43807
2026-02-04 17:44:00,72831.77,72870.54,72760.13,72769.18,34.56152
2026-02-04 17:45:00,72769.17,72913.94,72630.74,72652.04,66.65977
2026-02-04 17:46:00,72652.05,72663.18,72502.59,72585.75,60.31958
2026-02-04 17:47:00,72585.75,72600.0,72508.82,72590.26,36.42019
2026-02-04 17:48:00,72590.26,72688.03,72404.02,72410.69,59.01767
2026-02-04 17:49:00,72410.7,72553.24,72410.7,72485.47,41.61667
2026-02-04 17:50:00,72485.46,72513.36,72372.0,72391.33,30.03556
2026-02-04 17:51:00,72391.33,72474.0,72369.87,72392.12,35.72264
2026-02-04 17:52:00,72392.12,72532.98,72376.41,72471.08,47.60468
2026-02-04 17:53:00,72471.08,72471.08,72285.98,72298.26,48.33384
2026-02-04 17:54:00,72298.26,72446.07,72283.78,72382.48,44.32253
2026-02-04 17:55:00,72382.48,72588.68,72382.48,72572.39,60.96763
2026-02-04 17:56:00,72571.38,72660.0,72406.93,72406.93,50.91745
2026-02-04 17:57:00,72406.93,72732.6,72400.22,72717.3,54.48294
2026-02-04 17:58:00,72717.29,72742.0,72552.9,72559.26,40.27268
2026-02-04 17:59:00,72559.26,72612.51,72546.99,72576.08,25.92995
2026-02-04 18:00:00,72576.08,72620.0,72421.05,72421.05,61.00258
2026-02-04 18:01:00,72421.05,72453.49,72373.7,72403.68,38.63194
2026-02-04 18:02:00,72403.68,72457.8,72273.68,72315.63,59.05027
2026-02-04 18:03:00,72315.64,72691.86,72308.78,72678.98,71.49055
2026-02-04 18:04:00,72678.99,72678.99,72511.87,72572.73,62.40033
2026-02-04 18:05:00,72572.73,72663.5,72530.0,72661.77,67.4621
2026-02-04 18:06:00,72661.76,72795.5,72634.06,72771.81,53.7768
2026-02-04 18:07:00,72772.62,72897.82,72758.8,72874.5,58.08002
2026-02-04 18:08:00,72874.5,72950.0,72768.88,72794.89,90.36843
2026-02-04 18:09:00,72794.9,72799.98,72545.16,72583.16,108.00415
2026-02-04 18:10:00,72583.17,73144.24,72583.16,73134.23,112.53936
2026-02-04 18:11:00,73134.23,73240.0,73058.69,73179.57,117.66146
2026-02-04 18:12:00,73179.57,73282.59,72914.1,72932.65,87.31827
2026-02-04 18:13:00,72932.65,73005.3,72839.91,72839.91,66.21418
2026-02-04 18:14:00,72839.91,72935.62,72766.2,72858.9,81.80937
2026-02-04 18:15:00,72858.91,72991.89,72783.53,72869.19,55.93596
2026-02-04 18:16:00,72869.19,72869.19,72663.2,72663.2,99.21719
2026-02-04 18:17:00,72663.2,72887.99,72652.47,72767.26,63.15682
2026-02-04 18:18:00,72767.27,73064.68,72767.27,72982.0,91.40195
2026-02-04 18:19:00,72982.0,73099.0,72833.64,72882.38,94.1075
2026-02-04 18:20:00,72882.38,73049.99,72860.0,72865.17,53.24062
2026-02-04 18:21:00,72865.18,73000.0,72825.5,72991.36,34.96765
2026-02-04 18:22:00,72991.35,73076.69,72916.12,72931.71,44.95553
2026-02-04 18:23:00,72931.7,72931.71,72795.7,72801.36,52.99879
2026-02-04 18:24:00,72801.37,72845.09,72719.52,72837.54,32.9675
2026-02-04 18:25:00,72837.55,73040.6,72832.35,73024.5,38.08399
2026-02-04 18:26:00,73024.51,73069.14,72931.7,72940.8,40.76516
2026-02-04 18:27:00,72940.8,73172.81,72940.8,73125.69,83.81908
2026-02-04 18:28:00,73125.68,73321.21,73120.79,73321.21,58.78692
2026-02-04 18:29:00,73321.21,73591.6,73259.9,73416.02,139.38353
2026-02-04 18:30:00,73416.02,73421.21,73280.5,73357.99,72.75433
2026-02-04 18:31:00,73357.99,73756.0,73317.82,73752.32,125.47996
2026-02-04 18:32:00,73752.31,73777.0,73438.5,73508.43,105.08227
2026-02-04 18:33:00,73508.42,73619.7,73445.84,73612.72,54.96169
2026-02-04 18:34:00,73612.73,73634.0,73520.0,73550.73,36.26141
2026-02-04 18:35:00,73550.74,73758.49,73471.36,73471.36,62.23661
2026-02-04 18:36:00,73471.36,73540.01,73443.28,73502.64,43.33227
2026-02-04 18:37:00,73502.64,73749.81,73487.34,73715.92,53.18216
2026-02-04 18:38:00,73715.92,73897.33,73653.36,73894.14,50.71654
2026-02-04 18:39:00,73894.14,73939.61,73799.9,73890.94,37.49886
2026-02-04 18:40:00,73890.95,74118.53,73722.0,73996.49,120.95414
2026-02-04 18:41:00,73996.5,74032.08,73897.7,74021.55,60.25011
2026-02-04 18:42:00,74021.55,74140.0,73878.79,74067.87,50.7264
2026-02-04 18:43:00,74067.86,74074.67,73976.01,74027.05,42.81829
2026-02-04 18:44:00,74027.04,74071.19,73986.49,74002.0,30.83294
2026-02-04 18:45:00,74002.0,74027.25,73851.0,73860.42,56.25717
2026-02-04 18:46:00,73860.43,73896.28,73802.0,73859.25,26.1939
2026-02-04 18:47:00,73859.25,73865.0,73659.9,73684.72,26.74197
2026-02-04 18:48:00,73684.71,73724.0,73678.49,73706.54,20.04978
